C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
1.0,balanced,1000,ovr,l2,saga,,0.7551296953681966,0.5440449046869155,0.7962387959257518,0.4131784127800094,0.6776725179717484,0.7551296953681966,0.8451109513707135,0.7710656189409947,0.7551296953681966,0.7551296953681966,0.6883318965134171,0.7551296953681966,0.779673016062482,0.8499989303553696,0.4389118792954023,0.6594744981481168
0.1,balanced,1000,ovr,l1,liblinear,,0.7546491560897332,0.5436746320789912,0.796610912504037,0.4126515880484824,0.677434320752222,0.7546491560897332,0.845055470402948,0.7709156116414766,0.7546491560897332,0.7546491560897332,0.6879471170940157,0.7546491560897332,0.7792790529412289,0.8498459304953805,0.4384961785327793,0.6590926200910108
0.001,,1000,ovr,l1,saga,,0.8327381298983719,0.2751137540427103,0.1730044825176502,0.6714881710343605,0.7561138369434056,0.8327381298983719,0.8096862556142067,0.5769927044586551,0.8327381298983719,0.8327381298983719,0.5902878662535683,0.8327381298983719,0.7898093731802404,0.8166323981139256,0.2808401377116636,0.5272530438113967
1.0,balanced,1000,ovr,l2,saga,,0.7551296953681966,0.5440449046869155,0.7962387959257518,0.4131784127800094,0.6776725179717484,0.7551296953681966,0.8451109513707135,0.7710656189409947,0.7551296953681966,0.7551296953681966,0.6883318965134171,0.7551296953681966,0.779673016062482,0.8499989303553696,0.4389118792954023,0.6594744981481168
1.0,balanced,1000,ovr,l2,saga,,0.7551296953681966,0.5440449046869155,0.7962387959257518,0.4131784127800094,0.6776725179717484,0.7551296953681966,0.8451109513707135,0.7710656189409947,0.7551296953681966,0.7551296953681966,0.6883318965134171,0.7551296953681966,0.779673016062482,0.8499989303553696,0.4389118792954023,0.6594744981481168
10.0,balanced,1000,ovr,l1,liblinear,,0.7551139398311109,0.5440378448031277,0.7962674162127809,0.4131625496638527,0.6776674737934852,0.7551139398311109,0.8451127562882382,0.7710670653265792,0.7551139398311109,0.7551139398311109,0.6883214822677468,0.7551139398311109,0.7796604786323696,0.8500050898537704,0.4389068208799365,0.659464754774823
0.1,,1000,multinomial,elasticnet,saga,1.0,0.8447332363679649,0.4505759793651314,0.3470108815529558,0.6423275681881966,0.754669216153574,0.8447332363679649,0.8257872751892719,0.6517914092304674,0.8447332363679649,0.8447332363679649,0.6800838128091283,0.8447332363679649,0.8253741315964856,0.8494190871868142,0.3932190285386895,0.634182246120329
0.1,,1000,multinomial,elasticnet,saga,1.0,0.8447332363679649,0.4505759793651314,0.3470108815529558,0.6423275681881966,0.754669216153574,0.8447332363679649,0.8257872751892719,0.6517914092304674,0.8447332363679649,0.8447332363679649,0.6800838128091283,0.8447332363679649,0.8253741315964856,0.8494190871868142,0.3932190285386895,0.634182246120329
1.0,balanced,1000,ovr,l2,saga,,0.7551296953681966,0.5440449046869155,0.7962387959257518,0.4131784127800094,0.6776725179717484,0.7551296953681966,0.8451109513707135,0.7710656189409947,0.7551296953681966,0.7551296953681966,0.6883318965134171,0.7551296953681966,0.779673016062482,0.8499989303553696,0.4389118792954023,0.6594744981481168
0.1,,1000,multinomial,elasticnet,saga,1.0,0.8447332363679649,0.4505759793651314,0.3470108815529558,0.6423275681881966,0.754669216153574,0.8447332363679649,0.8257872751892719,0.6517914092304674,0.8447332363679649,0.8447332363679649,0.6800838128091283,0.8447332363679649,0.8253741315964856,0.8494190871868142,0.3932190285386895,0.634182246120329
,,1000,ovr,,lbfgs,,0.8447253592717198,0.4536934048111351,0.3514190208688563,0.6399994150154642,0.7538345651759762,0.8447253592717198,0.8258980887557943,0.6534954004908636,0.8447253592717198,0.8447253592717198,0.6815973750757407,0.8447253592717198,0.8258723634629858,0.8497218197551945,0.3947720604193476,0.6360165810228195
